"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 31","38,770","38,935","39,110","38,400","154.10K","0.43%"
"2025- 01- 24","38,605","38,255","38,705","38,035","297.29K","1.46%"
"2025- 01- 23","38,050","37,950","38,515","37,855","244.02K","0.45%"
"2025- 01- 22","37,880","38,000","38,380","37,845","184.93K","0.56%"
"2025- 01- 21","37,670","37,575","38,020","37,415","212.02K","0.43%"
"2025- 01- 20","37,510","37,690","37,690","37,125","145.49K","-0.05%"
"2025- 01- 17","37,530","37,985","37,985","37,340","68.50K","-1.20%"
"2025- 01- 16","37,985","37,540","38,240","37,530","89.24K","2.23%"
"2025- 01- 15","37,155","38,180","38,260","36,970","108.50K","-1.56%"
"2025- 01- 14","37,745","38,260","38,280","37,600","117.33K","-0.22%"
"2025- 01- 13","37,830","37,915","38,530","37,545","56.65K","-0.96%"
"2025- 01- 10","38,195","38,385","38,570","38,100","62.50K","-0.39%"
"2025- 01- 09","38,345","38,265","38,545","37,860","99.18K","0.27%"
"2025- 01- 08","38,240","38,190","38,670","38,090","94.92K","0.10%"
"2025- 01- 07","38,200","37,575","38,395","37,440","135.49K","1.60%"
"2025- 01- 06","37,600","37,270","37,690","36,865","97.81K","0.95%"
"2025- 01- 03","37,245","36,410","37,265","36,365","95.60K","2.14%"
"2025- 01- 02","36,465","36,925","37,035","36,270","83.38K","-1.25%"
"2024- 12- 30","36,925","35,280","37,185","35,280","107.40K","3.34%"
"2024- 12- 27","35,730","36,190","36,190","35,310","121.79K","-0.33%"
"2024- 12- 26","35,850","36,110","36,325","35,690","38.87K","0.03%"
"2024- 12- 24","35,840","35,900","36,080","35,340","103.32K","0.42%"
"2024- 12- 23","35,690","35,595","35,875","35,490","91.49K","1.39%"
"2024- 12- 20","35,200","35,750","35,750","35,030","67.00K","-1.54%"
"2024- 12- 19","35,750","35,940","36,340","35,695","64.45K","-3.06%"
"2024- 12- 18","36,880","36,400","37,120","36,290","57.12K","0.49%"
"2024- 12- 17","36,700","37,170","37,170","36,500","59.23K","-1.16%"
"2024- 12- 16","37,130","37,355","37,370","36,915","115.96K","0.58%"
"2024- 12- 13","36,915","36,060","37,220","36,010","84.36K","2.50%"
"2024- 12- 12","36,015","35,775","36,560","35,630","101.05K","0.95%"
"2024- 12- 11","35,675","35,465","36,040","35,435","61.40K","0.03%"
"2024- 12- 10","35,665","34,300","35,665","34,200","105.66K","5.83%"
"2024- 12- 09","33,700","34,370","34,665","33,675","176.07K","-4.32%"
"2024- 12- 06","35,220","35,595","35,595","34,490","144.49K","-1.05%"
"2024- 12- 05","35,595","35,860","36,035","35,450","80.11K","-0.60%"
"2024- 12- 04","35,810","35,715","36,300","35,305","173.72K","-1.62%"
"2024- 12- 03","36,400","35,680","36,525","35,680","113.37K","2.42%"
"2024- 12- 02","35,540","35,620","36,005","35,175","146.06K","0.32%"
"2024- 11- 29","35,425","36,345","36,450","35,305","142.92K","-2.50%"
"2024- 11- 28","36,335","35,500","36,340","35,495","90.82K","2.37%"
"2024- 11- 27","35,495","35,105","35,615","34,835","129.52K","1.20%"
"2024- 11- 26","35,075","36,195","36,195","34,805","127.07K","-2.84%"
"2024- 11- 25","36,100","34,955","36,230","34,955","151.79K","3.97%"
"2024- 11- 22","34,720","35,600","35,975","34,445","220.49K","-3.04%"
"2024- 11- 21","35,810","35,970","36,305","34,545","469.93K","-0.44%"
"2024- 11- 20","35,970","36,750","36,835","35,910","193.41K","-0.94%"
"2024- 11- 19","36,310","37,170","37,465","36,180","180.73K","-2.52%"
"2024- 11- 18","37,250","36,410","37,835","36,225","203.12K","0.73%"
"2024- 11- 15","36,980","36,655","37,100","36,235","203.24K","0.35%"
"2024- 11- 14","36,850","36,980","37,545","36,750","127.75K","0.41%"
"2024- 11- 13","36,700","37,715","37,985","36,620","251.58K","-2.82%"
"2024- 11- 12","37,765","38,770","38,795","37,605","204.39K","-2.96%"
"2024- 11- 11","38,915","38,905","39,055","38,390","141.21K","0.04%"
"2024- 11- 08","38,900","38,455","39,105","38,035","213.97K","2.54%"
"2024- 11- 07","37,935","39,000","39,070","37,420","216.80K","-2.95%"
"2024- 11- 06","39,090","38,930","39,375","38,365","158.19K","0.60%"
"2024- 11- 05","38,855","39,200","39,615","38,760","114.03K","-1.33%"
"2024- 11- 04","39,380","37,585","39,480","37,255","300.53K","4.65%"
"2024- 11- 01","37,630","38,555","38,580","37,630","161.30K","-2.90%"
"2024- 10- 31","38,755","38,930","38,980","38,490","101.48K","-0.97%"
"2024- 10- 30","39,135","39,335","39,395","39,020","85.37K","-0.71%"
"2024- 10- 29","39,415","39,325","39,650","38,870","101.60K","0.46%"
"2024- 10- 28","39,235","39,035","39,595","38,880","137.24K","0.51%"
"2024- 10- 25","39,035","39,285","39,400","38,765","139.97K","-0.98%"
"2024- 10- 24","39,420","39,080","39,645","38,760","110.28K","-0.01%"
"2024- 10- 23","39,425","39,955","40,315","38,825","240.60K","-1.28%"
"2024- 10- 22","39,935","40,820","40,995","39,860","161.31K","-2.38%"
"2024- 10- 21","40,910","40,280","41,100","40,130","201.86K","1.56%"
"2024- 10- 18","40,280","40,115","40,625","39,830","127.08K","0.41%"
"2024- 10- 17","40,115","40,410","40,630","39,815","127.92K","-1.13%"
"2024- 10- 16","40,575","40,750","40,990","40,490","139.11K","-0.88%"
"2024- 10- 15","40,935","39,905","40,990","39,710","254.76K","2.58%"
"2024- 10- 14","39,905","40,065","40,350","39,425","89.08K","-0.50%"
"2024- 10- 11","40,105","39,510","40,235","39,360","129.94K","0.83%"
"2024- 10- 10","39,775","39,335","40,030","39,110","114.08K","1.39%"
"2024- 10- 08","39,230","39,025","39,435","38,880","80.50K","0.35%"
"2024- 10- 07","39,095","39,490","39,490","38,970","137.12K","0.12%"
"2024- 10- 04","39,050","38,080","39,480","38,075","167.03K","2.57%"
"2024- 10- 02","38,070","38,230","38,470","37,835","110.83K","-1.01%"
"2024- 09- 30","38,460","38,665","38,950","38,025","229.63K","-0.27%"
"2024- 09- 27","38,565","39,860","39,860","38,565","227.74K","-3.25%"
"2024- 09- 26","39,860","39,410","39,860","39,095","226.10K","1.55%"
"2024- 09- 25","39,250","40,805","40,895","39,060","243.83K","-3.33%"
"2024- 09- 24","40,600","40,405","40,760","39,585","215.26K","0.48%"
"2024- 09- 23","40,405","40,175","40,795","40,080","448.10K","0.65%"
"2024- 09- 20","40,145","39,060","40,145","39,060","664.63K","2.78%"
"2024- 09- 19","39,060","38,320","39,300","38,320","295.11K","2.94%"
"2024- 09- 13","37,945","37,765","38,010","37,385","76.37K","0.78%"
"2024- 09- 12","37,650","37,030","37,690","37,030","110.82K","1.95%"
"2024- 09- 11","36,930","37,520","37,895","36,770","82.62K","-1.26%"
"2024- 09- 10","37,400","37,610","37,650","37,245","49.22K","0.42%"
"2024- 09- 09","37,245","36,000","37,350","36,000","87.92K","1.42%"
"2024- 09- 06","36,725","36,815","37,040","35,960","142.91K","-0.50%"
"2024- 09- 05","36,910","37,500","37,665","36,330","283.17K","-1.26%"
"2024- 09- 04","37,380","37,995","38,700","37,255","271.64K","-3.56%"
"2024- 09- 03","38,760","38,935","39,450","38,660","183.05K","-0.54%"
"2024- 09- 02","38,970","39,540","39,560","38,385","220.85K","-1.13%"
"2024- 08- 30","39,415","38,420","39,495","38,395","159.42K","2.48%"
"2024- 08- 29","38,460","38,715","39,290","38,325","194.01K","-0.62%"
